geo_id,geo_id_trim,county,total_pop,total_pop_U5,total_pop_U5_E,total_pop_5_9,total_pop_5_9_E,total_pop_10_14,total_pop_10_14_E,total_pop_15_19 ,total_pop_15_19 _E,total_pop_20_24,total_pop_20_24_E,total_pop_25_29,total_pop_25_29_E,total_pop_30_34,total_pop_30_34_E,total_pop_35_39,total_pop_35_39_E,total_pop_40_44,total_pop_40_44_E,total_pop_45_49,total_pop_45_49_E,total_pop_50_ 54,total_pop_50_ 54_E,total_pop_55_59,total_pop_55_59_E,total_pop_60_64,total_pop_60_64_E,total_pop_65_69,total_pop_65_69_E,total_pop_70_74,total_pop_70_74_E,total_pop_75_79,total_pop_75_79_E,total_pop_80_84,total_pop_80_84_E,total_pop_85,total_pop_85_E,total_pop_female,total_pop_female_E,female_pop_U5,female_pop_U5_E,female_pop_5_9,female_pop_5_9_E,female_pop_10_14,female_pop_10_14_E,female_pop_15_19 ,female_pop_15_19 _E,female_pop_20_24,female_pop_20_24_E,female_pop_25_29,female_pop_25_29_E,female_pop_30_34,female_pop_30_34_E,female_pop_35_39,female_pop_35_39_E,female_pop_40_44,female_pop_40_44_E,female_pop_45_49,female_pop_45_49_E,female_pop_50_ 54,female_pop_50_ 54_E,female_pop_55_59,female_pop_55_59_E,female_pop_60_64,female_pop_60_64_E,female_pop_65_69,female_pop_65_69_E,female_pop_70_74,female_pop_70_74_E,female_pop_75_79,female_pop_75_79_E,female_pop_80_84,female_pop_80_84_E,female_pop_85,female_pop_85_E
0500000US42079,42079,Luzerne,317417,16696,199,19620,1423,15190,1443,18947,806,19657,939,20862,751,19229,949,18859,1706,19052,1897,19335,676,21327,346,23106,1784,22673,1703,19052,1288,15715,1209,12309,1213,7387,1061,8401,1071,160674,850,8012,476,8183,1106,8836,1066,9570,762,10083,682,9340,404,9264,415,9095,1042,9146,1140,9641,172,10568,228,12944,1124,10642,1025,10203,933,7943,901,6743,876,4589,787,5872,830
0500000US42081,42081,Lycoming,113299,5706,343,7229,917,6359,978,6939,387,6575,514,7488,642,7209,284,6969,972,6254,957,6708,474,7056,345,7840,821,8282,913,6806,792,5986,804,3786,685,2609,549,3498,642,57427,562,2704,169,3364,690,3304,669,3126,189,2942,131,3744,541,3431,211,3298,692,3338,505,3637,445,3658,284,3963,550,4482,617,3408,579,3192,579,2030,457,1735,405,2071,432
0500000US42085,42085,Mercer,109424,5462,244,5713,663,5788,699,6871,409,7273,417,6013,625,5666,421,4747,756,6381,741,6469,279,7628,512,8694,1050,7973,1024,7914,800,5832,834,3874,717,2964,616,4162,767,55851,741,2782,323,2987,512,2500,499,3073,150,3302,173,3157,601,2714,273,2337,547,3148,569,3162,227,3933,476,4319,759,4069,676,4256,541,3455,574,2313,504,2008,526,2336,494
0500000US42089,42089,Monroe,170271,7878,193,9427,1679,9541,1686,10902,1856,13278,1539,10433,1398,9074,1032,10571,2048,7929,1709,10348,1333,13044,1611,16047,2094,11857,1983,9757,1365,8628,1235,6380,1298,2858,850,2319,905,85941,1155,4274,623,5076,977,4293,1190,4401,1149,7418,1033,4601,864,4374,770,5060,1224,4655,1505,4806,823,7188,1556,7857,1414,5760,1249,4818,931,4796,1065,3460,844,1287,641,1817,715
0500000US42091,42091,Montgomery,830915,45263,73,48053,2679,53298,2668,51438,1163,46076,1208,49907,121,54020,63,55149,3107,51161,3201,52171,554,55830,527,56984,2475,60534,2457,47839,2242,36399,2264,25628,2205,18029,1734,23136,2069,427045,314,22185,73,24844,1797,24841,1816,26072,684,22754,693,24388,97,26861,63,27710,1906,25119,1898,26658,162,28756,182,29408,1731,31668,1735,25241,1435,19926,1403,14237,1510,10917,1493,15460,1512
0500000US42095,42095,Northampton,305285,14371,918,15037,1647,19558,1894,21917,1250,19284,990,17901,677,19565,1221,16605,1892,18461,1947,18246,1289,21175,1082,19677,1736,23733,1661,18174,1353,14511,1333,12506,1549,6036,1204,8528,1495,154756,687,6226,236,7648,1167,9387,1256,10406,868,9203,763,8477,504,9692,509,8610,1185,8825,1372,9332,560,10983,786,9900,1190,12287,1195,9415,944,8002,908,7265,1153,3923,888,5175,985
0500000US42097,42097,Northumberland,90843,4494,334,4800,901,5571,921,4417,207,4623,260,5633,433,6669,642,5538,728,4410,772,5540,196,5841,126,6272,809,7466,872,5959,729,4847,725,3862,740,2968,559,1933,495,44862,440,2257,285,2540,749,2521,670,2052,100,2049,136,2605,227,2787,344,2512,533,2181,539,2695,115,2841,24,3329,511,3648,552,3151,459,2473,452,1802,491,2307,503,1112,343
0500000US42101,42101,Philadelphia,1584064,102718,455,91794,4473,96623,4529,94645,566,109843,825,157725,381,147091,107,113358,4687,88369,4679,87438,439,89837,362,90607,4211,92666,4133,70062,3825,58015,3743,38636,2760,26551,2221,28086,2610,834603,441,49863,179,46211,3121,46520,3131,47699,269,55810,593,81439,214,75798,96,59012,3018,46590,2959,46176,484,47504,237,49323,3158,50141,3153,39349,2634,33724,2513,23095,2391,16718,2269,19631,2132
0500000US42107,42107,Schuylkill,141359,6732,260,7292,1011,8602,983,7548,292,6997,285,8624,532,8383,527,9151,965,7855,1073,9575,393,10415,675,10551,1085,10220,1015,8662,826,8036,838,4695,724,3307,624,4714,770,68583,679,3091,229,3739,746,4091,657,3536,291,3249,183,3642,161,3668,213,3871,621,3761,620,4635,292,4679,65,5121,688,5211,753,4939,599,3629,591,2451,540,2083,492,3187,594
0500000US42111,42111,Somerset,73447,3608,460,3568,695,3917,572,3811,129,3649,223,4091,183,4120,227,4183,538,4051,531,4888,205,5264,244,6043,717,5388,687,5276,577,4114,506,2604,550,2158,418,2714,554,35107,409,1607,74,1806,534,1907,427,1950,110,1496,182,1666,182,1707,119,1811,421,1806,421,2368,142,2288,56,3059,451,2462,451,2430,378,2275,370,1372,401,1215,373,1882,369
0500000US42125,42125,Washington,206865,10137,249,13375,1238,9600,1178,12435,611,12456,544,10878,324,11910,543,12147,1278,11906,1562,12855,323,14071,489,13305,1375,18128,1378,14363,1208,10306,1177,8152,1004,4874,861,5967,936,105263,654,4955,307,6925,914,4070,867,6303,487,5964,452,5130,147,5772,358,5682,988,6460,1069,6508,236,7099,289,6802,796,9265,793,7628,804,5288,747,4779,762,2585,607,4048,791
0500000US42129,42129,Westmoreland,348899,15490,335,17877,1647,18168,1574,19578,495,18200,510,19415,713,18158,561,21593,1377,16620,1512,21686,523,24564,464,25445,2048,31051,2157,26599,1876,19046,1888,14405,1390,9040,1400,11964,1274,177630,666,7421,371,8513,1254,9002,1221,9356,434,9162,421,9121,404,8663,296,10347,979,9107,1064,10741,309,12357,257,12624,1091,16257,1207,14213,1386,9920,1375,8017,1006,5644,1045,7165,955
0500000US42133,42133,York,449058,25154,280,25969,2239,29900,2152,28477,965,25035,874,27528,541,28580,855,27215,2286,27241,2225,28995,866,30497,908,31259,2035,32250,2053,26608,1667,20523,1552,14156,1549,11367,1268,8304,1075,226308,944,12090,605,11531,1418,15381,1405,13367,903,11853,721,13325,532,14321,566,13530,1686,13786,1642,14781,418,15165,272,16500,1489,16060,1499,13633,1053,11075,1044,7934,1063,6476,941,5500,851
